Date,Trend
2007-01-01 , 100
2007-01-02 , 100
2007-01-03 , 100
2007-01-04 , 100
2007-01-05 , 100
2007-01-06 , 100
2007-01-07 , 100
2007-01-08 , 100
2007-01-09 , 100
2007-01-10 , 100
2007-01-11 , 100
2007-01-12 , 100
2007-01-13 , 100
2007-01-14 , 62
2007-01-15 , 62
2007-01-16 , 62
2007-01-17 , 62
2007-01-18 , 62
2007-01-19 , 62
2007-01-20 , 62
2007-01-21 , 53
2007-01-22 , 53
2007-01-23 , 53
2007-01-24 , 53
2007-01-25 , 53
2007-01-26 , 53
2007-01-27 , 53
2007-01-28 , 54
2007-01-29 , 54
2007-01-30 , 54
2007-01-31 , 54
2007-02-01 , 54
2007-02-02 , 54
2007-02-03 , 54
2007-02-04 , 52
2007-02-05 , 52
2007-02-06 , 52
2007-02-07 , 52
2007-02-08 , 52
2007-02-09 , 52
2007-02-10 , 52
2007-02-11 , 49
2007-02-12 , 49
2007-02-13 , 49
2007-02-14 , 49
2007-02-15 , 49
2007-02-16 , 49
2007-02-17 , 49
2007-02-18 , 50
2007-02-19 , 50
2007-02-20 , 50
2007-02-21 , 50
2007-02-22 , 50
2007-02-23 , 50
2007-02-24 , 50
2007-02-25 , 48
2007-02-26 , 48
2007-02-27 , 48
2007-02-28 , 48
2007-03-01 , 48
2007-03-02 , 48
2007-03-03 , 48
2007-03-04 , 47
2007-03-05 , 47
2007-03-06 , 47
2007-03-07 , 47
2007-03-08 , 47
2007-03-09 , 47
2007-03-10 , 47
2007-03-11 , 46
2007-03-12 , 46
2007-03-13 , 46
2007-03-14 , 46
2007-03-15 , 46
2007-03-16 , 46
2007-03-17 , 46
2007-03-18 , 49
2007-03-19 , 49
2007-03-20 , 49
2007-03-21 , 49
2007-03-22 , 49
2007-03-23 , 49
2007-03-24 , 49
2007-03-25 , 49
2007-03-26 , 49
2007-03-27 , 49
2007-03-28 , 49
2007-03-29 , 49
2007-03-30 , 49
2007-03-31 , 49
2007-04-01 , 49
2007-04-02 , 49
2007-04-03 , 49
2007-04-04 , 49
2007-04-05 , 49
2007-04-06 , 49
2007-04-07 , 49
2007-04-08 , 47
2007-04-09 , 47
2007-04-10 , 47
2007-04-11 , 47
2007-04-12 , 47
2007-04-13 , 47
2007-04-14 , 47
2007-04-15 , 44
2007-04-16 , 44
2007-04-17 , 44
2007-04-18 , 44
2007-04-19 , 44
2007-04-20 , 44
2007-04-21 , 44
2007-04-22 , 45
2007-04-23 , 45
2007-04-24 , 45
2007-04-25 , 45
2007-04-26 , 45
2007-04-27 , 45
2007-04-28 , 45
2007-04-29 , 45
2007-04-30 , 45
2007-05-01 , 45
2007-05-02 , 45
2007-05-03 , 45
2007-05-04 , 45
2007-05-05 , 45
2007-05-06 , 44
2007-05-07 , 44
2007-05-08 , 44
2007-05-09 , 44
2007-05-10 , 44
2007-05-11 , 44
2007-05-12 , 44
2007-05-13 , 45
2007-05-14 , 45
2007-05-15 , 45
2007-05-16 , 45
2007-05-17 , 45
2007-05-18 , 45
2007-05-19 , 45
2007-05-20 , 43
2007-05-21 , 43
2007-05-22 , 43
2007-05-23 , 43
2007-05-24 , 43
2007-05-25 , 43
2007-05-26 , 43
2007-05-27 , 44
2007-05-28 , 44
2007-05-29 , 44
2007-05-30 , 44
2007-05-31 , 44
2007-06-01 , 44
2007-06-02 , 44
2007-06-03 , 50
2007-06-04 , 50
2007-06-05 , 50
2007-06-06 , 50
2007-06-07 , 50
2007-06-08 , 50
2007-06-09 , 50
2007-06-10 , 57
2007-06-11 , 57
2007-06-12 , 57
2007-06-13 , 57
2007-06-14 , 57
2007-06-15 , 57
2007-06-16 , 57
2007-06-17 , 50
2007-06-18 , 50
2007-06-19 , 50
2007-06-20 , 50
2007-06-21 , 50
2007-06-22 , 50
2007-06-23 , 50
2007-06-24 , 58
2007-06-25 , 58
2007-06-26 , 58
2007-06-27 , 58
2007-06-28 , 58
2007-06-29 , 58
2007-06-30 , 58
2007-07-01 , 58
2007-07-02 , 58
2007-07-03 , 58
2007-07-04 , 58
2007-07-05 , 58
2007-07-06 , 58
2007-07-07 , 58
2007-07-08 , 51
2007-07-09 , 51
2007-07-10 , 51
2007-07-11 , 51
2007-07-12 , 51
2007-07-13 , 51
2007-07-14 , 51
2007-07-15 , 48
2007-07-16 , 48
2007-07-17 , 48
2007-07-18 , 48
2007-07-19 , 48
2007-07-20 , 48
2007-07-21 , 48
2007-07-22 , 48
2007-07-23 , 48
2007-07-24 , 48
2007-07-25 , 48
2007-07-26 , 48
2007-07-27 , 48
2007-07-28 , 48
2007-07-29 , 49
2007-07-30 , 49
2007-07-31 , 49
2007-08-01 , 49
2007-08-02 , 49
2007-08-03 , 49
2007-08-04 , 49
2007-08-05 , 58
2007-08-06 , 58
2007-08-07 , 58
2007-08-08 , 58
2007-08-09 , 58
2007-08-10 , 58
2007-08-11 , 58
2007-08-12 , 51
2007-08-13 , 51
2007-08-14 , 51
2007-08-15 , 51
2007-08-16 , 51
2007-08-17 , 51
2007-08-18 , 51
2007-08-19 , 49
2007-08-20 , 49
2007-08-21 , 49
2007-08-22 , 49
2007-08-23 , 49
2007-08-24 , 49
2007-08-25 , 49
2007-08-26 , 50
2007-08-27 , 50
2007-08-28 , 50
2007-08-29 , 50
2007-08-30 , 50
2007-08-31 , 50
2007-09-01 , 50
2007-09-02 , 76
2007-09-03 , 76
